Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Brazil,BRA,2006,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,788053
Brazil,BRA,2005,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,789622
Brazil,BRA,2004,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,791191
Brazil,BRA,2003,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,792760
Brazil,BRA,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,794329
Brazil,BRA,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,795898
Brazil,BRA,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,797466
Brazil,BRA,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,799035
Brazil,BRA,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,800604
Brazil,BRA,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,802173
Brazil,BRA,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,803742
Brazil,BRA,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,791248
Brazil,BRA,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,778754
Brazil,BRA,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,766260
Brazil,BRA,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,753766
Brazil,BRA,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,741272
Brazil,BRA,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,728779
Brazil,BRA,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,716285
Brazil,BRA,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,703790
Brazil,BRA,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,691297
Brazil,BRA,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,678803
Brazil,BRA,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,666309
Brazil,BRA,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,641000
Brazil,BRA,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,617000
Brazil,BRA,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,593000
Brazil,BRA,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,569000
Brazil,BRA,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,545205
Brazil,BRA,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,485000
Brazil,BRA,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,428000
Brazil,BRA,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,370000
Brazil,BRA,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,350000
Brazil,BRA,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,323113
Brazil,BRA,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,236000
Brazil,BRA,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,218500
Brazil,BRA,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,201000
Brazil,BRA,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,183500
Brazil,BRA,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,165870
Brazil,BRA,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,155400
Brazil,BRA,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,145000
Brazil,BRA,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,134500
Brazil,BRA,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,124000
Brazil,BRA,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,114000
Brazil,BRA,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,103000
Brazil,BRA,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,93000
Brazil,BRA,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,82000
Brazil,BRA,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,72000
Brazil,BRA,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,534.9570208
Brazil,BRA,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,449.6009502
Brazil,BRA,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,484.618168
Brazil,BRA,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,434.5299054
Brazil,BRA,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,365.2955233
Brazil,BRA,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,386.814274
Brazil,BRA,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,324.8686483
Brazil,BRA,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,269.2666126
Brazil,BRA,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,309.0089978
Brazil,BRA,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,326.5858483
Brazil,BRA,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,261.7370075
Brazil,BRA,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,269.9376813
Brazil,BRA,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,322.1581572
Brazil,BRA,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,315.6848006
Brazil,BRA,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,264.4901723
Brazil,BRA,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,186.0961149
Brazil,BRA,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,160.6621766
Brazil,BRA,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,173.0547977
Brazil,BRA,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,173.9349418
Brazil,BRA,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,177.5790454
Brazil,BRA,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,183.014805
Brazil,BRA,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,156.1898725
Brazil,BRA,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,118.2567433
Brazil,BRA,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,141.838605
Brazil,BRA,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,165.1697374
Brazil,BRA,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,124.0318675
Brazil,BRA,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,120.1003514
Brazil,BRA,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,150.9459511
Brazil,BRA,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,152.3052418
Brazil,BRA,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,120.8408396
Brazil,BRA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,2835460
Brazil,BRA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,2840830
Brazil,BRA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,2835790
Brazil,BRA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,2795620
Brazil,BRA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,2756070
Brazil,BRA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,2753730
Brazil,BRA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,2734630
Brazil,BRA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,2735400
Brazil,BRA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,2735000
Brazil,BRA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,2716380
Brazil,BRA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,2727840
Brazil,BRA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,2724325.938
Brazil,BRA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,2721320
Brazil,BRA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,2684690
Brazil,BRA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,2658680
Brazil,BRA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,2634650
Brazil,BRA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,2614060
Brazil,BRA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,2607590
Brazil,BRA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,2601120
Brazil,BRA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,2595660
Brazil,BRA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,2590190
Brazil,BRA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,2584720
Brazil,BRA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,2514180
Brazil,BRA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,2494630
Brazil,BRA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,2467090
Brazil,BRA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,2449410
Brazil,BRA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,2416080
Brazil,BRA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,2394320
Brazil,BRA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,2376870
Brazil,BRA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,2357910
Brazil,BRA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,2340550
Brazil,BRA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,2310410
Brazil,BRA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,2299240
Brazil,BRA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,2288210
Brazil,BRA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,2281360
Brazil,BRA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,2258240
Brazil,BRA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,2242780
Brazil,BRA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,2225130
Brazil,BRA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,2200390
Brazil,BRA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,2185500
Brazil,BRA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,2160070
Brazil,BRA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,2134160
Brazil,BRA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,2100430
Brazil,BRA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,2058610
Brazil,BRA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,2028370
Brazil,BRA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,1996320
Brazil,BRA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,1953970
Brazil,BRA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,1937780
Brazil,BRA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,1852230
Brazil,BRA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,1795890
Brazil,BRA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,1750940
Brazil,BRA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,1703950
Brazil,BRA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,1660410
Brazil,BRA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,1615110
Brazil,BRA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,1559130
Brazil,BRA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,1505310
Brazil,BRA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.92453345
Brazil,BRA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.98878219
Brazil,BRA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.9284817
Brazil,BRA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.44787237
Brazil,BRA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.97468097
Brazil,BRA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.94668431
Brazil,BRA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.71816457
Brazil,BRA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.72737714
Brazil,BRA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.72259139
Brazil,BRA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.49981455
Brazil,BRA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.6369264
Brazil,BRA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.5948828
Brazil,BRA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.55891861
Brazil,BRA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.12066321
Brazil,BRA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.80946957
Brazil,BRA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.52196541
Brazil,BRA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.27561874
Brazil,BRA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.19820917
